StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q31,Prolific_ID,FI_Time_First Click,FI_Time_Last Click,FI_Time_Page Submit,FI_Time_Click Count,B1_wind_1,B1_flood_1,Appraisal1_1,Decision,SI_Time_First Click,SI_Time_Last Click,SI_Time_Page Submit,SI_Time_Click Count,Appraisal2_evac_4,Appraisal2_stay_1,B2_wind_1,B2_flood_1,age,gender,zipcode,prior_experience,MTurkCode,PROLIFIC_PID,QCity_zipcode,QState_zipcode,DeviceIdentifier
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent Form: 

 

We are conducting an academic survey designed to study how people make a decision in the event of a storm. You will be asked about various needs and concerns you might have as well as where you get your information about a hurricane and how you perceive your information. 

You will:
Read through an unsigned informed consent form. Complete a questionnaire and demographic information. Receive a code to get paid.

Informed Consent to Participate in a Research Study (NU IRB# 17-09-16)

We are inviting you to take part in a research study. This form will tell you about the study. You can choose to participate or not, you can also discontinue at any time.

Why is this research study being done? The purpose of this research is to develop a model of hurricane evacuation decision-making.

What will I be asked to do? Anonymously fill out one questionnaire and demographic information.

Where will this take place and how much of my time will it take? The study will take place in front of your computer and it should take around 4 minutes.

Will there be any risk or discomfort to me? There are no foreseeable risks or discomforts to you for taking part in this study.

Who will see the information about me? All the collected data will be anonymous, no identifiers are collected. This means no one, including the researcher, will know what your answers are. Any reports or publications based on this research will use only group data and will not identify you or any individual as being part of this project. Your data are also stored on Mechanical Turk's servers, and the data there are subject to the Amazon Mechanical Turk Privacy Notice and Participant Agreement. If you have any questions regarding electronic privacy, please feel free to contact Northeastern University's director of information security at privacy@neu.edu. 

Can I stop my participation in this study? The decision to participate in this study is up to you. You do not have to participate and even if you begin the study, you may withdraw at any time. But if you choose to stop, you will not receive remuneration.

Who can I contact if I have questions or problems? If you have any questions about this study, please feel free to contact Nutchanon Yongsatianchot at nutjung.nutlc@gmail.com.

Who can I contact about my rights as a participant? If you have any questions about your rights in this research, you may contact Nan C. Regina, Director, Human Subject Research Protection, 360 Huntington Ave, Mail Stop 560-177, Northeastern University, Boston, MA 02115. Tel: 617-373-4788, Email: n.regina@neu.edu. You may call anonymously if you wish.

Will I be paid for my participation? You will receive $0.64 for the completion of the survey.

Will it cost me anything to participate? No cost is to be anticipated for your participation in this study.

Is there anything else I need to know? You must be at least 18 years old to participate and you must be a native or proficient English speaker.",Please enter your Prolific ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Maximum sustained wind speed (mph): - Wind speed (mph),Flood depth (inch): - Flood depth (inch),How would you feel about the hurricane situation? - Distress,"In this situation, what would you do?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"As you have evacuated and won’t be able to return home until the hurricane is gone, how do you feel about the current hurricane situation? - Distress","As you have decided to stay in your apartment on the third floor and won’t be able to evacuate now, how do you feel about the current hurricane situation? - Distress",Maximum sustained wind speed (mph): - Wind speed (mph),Flood depth (inch): - Flood depth (inch),How old are you?,What is your gender?,Your zip code:,Have you experienced a hurricane before?,MTurkCode,PROLIFIC_PID,QCity_zipcode,QState_zipcode,DeviceIdentifier
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID628""}","{""ImportId"":""QID630_TEXT""}","{""ImportId"":""QID619_FIRST_CLICK""}","{""ImportId"":""QID619_LAST_CLICK""}","{""ImportId"":""QID619_PAGE_SUBMIT""}","{""ImportId"":""QID619_CLICK_COUNT""}","{""ImportId"":""QID623_1""}","{""ImportId"":""QID600_1""}","{""ImportId"":""QID631_1""}","{""ImportId"":""QID633""}","{""ImportId"":""QID622_FIRST_CLICK""}","{""ImportId"":""QID622_LAST_CLICK""}","{""ImportId"":""QID622_PAGE_SUBMIT""}","{""ImportId"":""QID622_CLICK_COUNT""}","{""ImportId"":""QID634_4""}","{""ImportId"":""QID635_1""}","{""ImportId"":""QID624_1""}","{""ImportId"":""QID605_1""}","{""ImportId"":""QID591_TEXT""}","{""ImportId"":""QID627""}","{""ImportId"":""QID592_TEXT""}","{""ImportId"":""QID593""}","{""ImportId"":""MTurkCode""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""QCity_zipcode""}","{""ImportId"":""QState_zipcode""}","{""ImportId"":""DeviceIdentifier""}"
2022-04-11 09:42:59,2022-04-11 09:44:17,IP Address,99.102.102.198,100,78,True,2022-04-11 09:44:18,R_2aIWq5bBpI8Zr4w,,,,,27.589202880859375,-80.4004974365234375,anonymous,EN,I consent to taking part in this survey.,5e07d174da6bad1342bafab2,8.594,13.151,16.137,2,85,4,5,Evacuate to a hotel up north paying at least $150 per night.,10.606,24.114,24.904,3,7,,110,10,38,Male,32962,Yes,2880481,5e07d174da6bad1342bafab2,Vero Beach,FL,
2022-04-11 09:42:57,2022-04-11 09:44:53,IP Address,174.203.37.239,100,116,True,2022-04-11 09:44:53,R_1GIy4Aqft7H75XX,,,,,30.450897216796875,-91.15630340576171875,anonymous,EN,I consent to taking part in this survey.,56e130548b1c33000a388671,15.052,23.019,23.696,3,125,15,7,Stay in your apartment on the third floor and ride out the storm.,6.053,18.172,18.929,3,,8,140,18,28,Male,32565,Yes,9892312,56e130548b1c33000a388671,Jay,FL,
2022-04-11 09:43:14,2022-04-11 09:44:55,IP Address,47.199.64.90,100,100,True,2022-04-11 09:44:55,R_eqW9MNVhKf5VheN,,,,,27.3253936767578125,-82.473297119140625,anonymous,EN,I consent to taking part in this survey.,5baac103748f990001a1101e,24.964,33.307,34.16,2,94,7,5,Stay in your apartment on the third floor and ride out the storm.,13.542,25.672,26.477,3,,8,129,19,60,Female,34232,Yes,3374135,5baac103748f990001a1101e,Sarasota,FL,
2022-04-11 09:43:11,2022-04-11 09:45:18,IP Address,107.115.159.39,100,126,True,2022-04-11 09:45:18,R_1FzXk5gMwzOPpnd,,,,,28.45379638671875,-81.46739959716796875,anonymous,EN,I consent to taking part in this survey.,60ae54561666056b2558ba4d,4.13,35.102,36.09,5,100,10,2,Stay in your apartment on the third floor and ride out the storm.,11.678,33.014,33.755,5,,6,130,13,38,Male,32907,Yes,1285248,60ae54561666056b2558ba4d,Palm Bay,FL,
2022-04-11 09:43:49,2022-04-11 09:45:19,IP Address,67.9.131.61,100,89,True,2022-04-11 09:45:19,R_0OPABbhSpbZZLB7,,,,,27.7888946533203125,-82.71920013427734375,anonymous,EN,I consent to taking part in this survey.,57027c1f68c641000e0c8970,10.787,13.326,17.22,2,120,12,8,Evacuate to a hotel up north paying at least $150 per night.,7.534,24.187,25.154,4,10,,150,17,43,Female,33710,Yes,7368729,57027c1f68c641000e0c8970,Saint Petersburg,FL,
2022-04-11 09:43:40,2022-04-11 09:45:26,IP Address,67.79.169.226,100,106,True,2022-04-11 09:45:27,R_2COrAhX4MpcG5IL,,,,,27.9906005859375,-82.7454986572265625,anonymous,EN,I consent to taking part in this survey.,546f8a9cfdf99b4a593414ea,20.723,26.579,27.881,4,120,10,3,Stay in your apartment on the third floor and ride out the storm.,11.787,21.643,22.522,4,,3,125,10,53,Male,33755,Yes,2054016,546f8a9cfdf99b4a593414ea,Clearwater,FL,
2022-04-11 09:43:24,2022-04-11 09:45:33,IP Address,71.214.86.58,100,129,True,2022-04-11 09:45:33,R_3nqKFwAkMRVXBXJ,,,,,28.52740478515625,-81.6011962890625,anonymous,EN,I consent to taking part in this survey.,57a2b3e1dcff7d0001c7d0dc,26.494,38.123,38.907,2,140,13,5,Stay in your apartment on the third floor and ride out the storm.,7.881,28.845,29.674,5,,7,141,18,28,Female,34748,Yes,9470705,57a2b3e1dcff7d0001c7d0dc,Leesburg,FL,
2022-04-11 09:44:46,2022-04-11 09:46:19,IP Address,75.115.212.89,100,92,True,2022-04-11 09:46:19,R_22Mlq4BmLkmPg6R,,,,,28.747802734375,-82.499298095703125,anonymous,EN,I consent to taking part in this survey.,5a4bf09053a4560001ba0ebf,1.971,25.051,25.927,6,120,12,5,Stay in your apartment on the third floor and ride out the storm.,2.598,29.549,30.406,11,,7,140,16,34,Male,34429,Yes,9392842,5a4bf09053a4560001ba0ebf,Crystal River,FL,
