StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q31,Prolific_ID,FI_Time_First Click,FI_Time_Last Click,FI_Time_Page Submit,FI_Time_Click Count,B1_wind_1,B1_flood_1,Appraisal1_1,Decision,SI_Time_First Click,SI_Time_Last Click,SI_Time_Page Submit,SI_Time_Click Count,Appraisal2_evac_4,Appraisal2_stay_1,B2_wind_1,B2_flood_1,age,gender,zipcode,prior_experience,MTurkCode,PROLIFIC_PID,Condition,QCity_zipcode,QState_zipcode,DeviceIdentifier
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent Form: 

 

We are conducting an academic survey designed to study how people make a decision in the event of a storm. You will be asked about various needs and concerns you might have as well as where you get your information about a hurricane and how you perceive your information. 

You will:
Read through an unsigned informed consent form. Complete a questionnaire and demographic information. Receive a code to get paid.

Informed Consent to Participate in a Research Study (NU IRB# 17-09-16)

We are inviting you to take part in a research study. This form will tell you about the study. You can choose to participate or not, you can also discontinue at any time.

Why is this research study being done? The purpose of this research is to develop a model of hurricane evacuation decision-making.

What will I be asked to do? Anonymously fill out one questionnaire and demographic information.

Where will this take place and how much of my time will it take? The study will take place in front of your computer and it should take around 5 minutes.

Will there be any risk or discomfort to me? There are no foreseeable risks or discomforts to you for taking part in this study.

Who will see the information about me? All the collected data will be anonymous, no identifiers are collected. This means no one, including the researcher, will know what your answers are. Any reports or publications based on this research will use only group data and will not identify you or any individual as being part of this project. Your data are also stored on Mechanical Turk's servers, and the data there are subject to the Amazon Mechanical Turk Privacy Notice and Participant Agreement. If you have any questions regarding electronic privacy, please feel free to contact Northeastern University's director of information security at privacy@neu.edu. 

Can I stop my participation in this study? The decision to participate in this study is up to you. You do not have to participate and even if you begin the study, you may withdraw at any time. But if you choose to stop, you will not receive remuneration.

Who can I contact if I have questions or problems? If you have any questions about this study, please feel free to contact Nutchanon Yongsatianchot at nutjung.nutlc@gmail.com.

Who can I contact about my rights as a participant? If you have any questions about your rights in this research, you may contact Nan C. Regina, Director, Human Subject Research Protection, 360 Huntington Ave, Mail Stop 560-177, Northeastern University, Boston, MA 02115. Tel: 617-373-4788, Email: n.regina@neu.edu. You may call anonymously if you wish.

Will I be paid for my participation? You will receive $0.80 for the completion of the survey.

Will it cost me anything to participate? No cost is to be anticipated for your participation in this study.

Is there anything else I need to know? You must be at least 18 years old to participate and you must be a native or proficient English speaker.",Please enter your Prolific ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Maximum sustained wind speed (mph): - Wind speed (mph),Flood depth (inch): - Flood depth (inch),How would you feel about the hurricane situation? - Distress,"In this situation, what would you do?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"As you have evacuated and won’t be able to return home until the hurricane is gone, how do you feel about the current hurricane situation? - Distress","As you have decided to stay in your one-story, single-detached house and won’t be able to evacuate now, how do you feel about the current hurricane situation? - Distress",Maximum sustained wind speed (mph): - Wind speed (mph),Flood depth (inch): - Flood depth (inch),How old are you?,What is your gender?,Your zip code:,Have you experienced a hurricane before?,MTurkCode,PROLIFIC_PID,Condition,QCity_zipcode,QState_zipcode,DeviceIdentifier
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID628""}","{""ImportId"":""QID630_TEXT""}","{""ImportId"":""QID619_FIRST_CLICK""}","{""ImportId"":""QID619_LAST_CLICK""}","{""ImportId"":""QID619_PAGE_SUBMIT""}","{""ImportId"":""QID619_CLICK_COUNT""}","{""ImportId"":""QID623_1""}","{""ImportId"":""QID600_1""}","{""ImportId"":""QID631_1""}","{""ImportId"":""QID633""}","{""ImportId"":""QID622_FIRST_CLICK""}","{""ImportId"":""QID622_LAST_CLICK""}","{""ImportId"":""QID622_PAGE_SUBMIT""}","{""ImportId"":""QID622_CLICK_COUNT""}","{""ImportId"":""QID634_4""}","{""ImportId"":""QID635_1""}","{""ImportId"":""QID624_1""}","{""ImportId"":""QID605_1""}","{""ImportId"":""QID591_TEXT""}","{""ImportId"":""QID627""}","{""ImportId"":""QID592_TEXT""}","{""ImportId"":""QID593""}","{""ImportId"":""MTurkCode""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Condition""}","{""ImportId"":""QCity_zipcode""}","{""ImportId"":""QState_zipcode""}","{""ImportId"":""DeviceIdentifier""}"
2022-04-08 05:58:34,2022-04-08 05:59:10,IP Address,108.34.133.197,46,35,False,2022-04-08 06:02:57,R_2dKqWaRDRCQUpUP,,,,,,,anonymous,EN,I consent to taking part in this survey.,1513,6.618,8.699,9.086,5,95,15,2,"Stay in your place, a one-story, single-detached house, and ride out the storm.",,,,,,,,,,,,,3196332,,High Uncertainty - Cat 2,,,
2022-04-08 06:52:24,2022-04-08 06:54:47,IP Address,70.185.96.81,100,143,True,2022-04-08 06:54:47,R_ZENK4FotLmYYAmZ,,,,,29.613800000000001233502189279533922672271728515625,-82.385999999999995679900166578590869903564453125,anonymous,EN,I consent to taking part in this survey.,6004d426710b3c300a1259ee,28.54,35.864,38.784,2,121,12,5,"Stay in your place, a one-story, single-detached house, and ride out the storm.",22.579,38.002,39.616,4,,8,141,16,60,Male,32608,Yes,3572111,6004d426710b3c300a1259ee,Low Uncertainty - Cat 4,Gainesville,FL,
2022-04-08 07:26:38,2022-04-08 07:28:50,IP Address,72.238.121.105,100,131,True,2022-04-08 07:28:50,R_1NyaWRDWcQ71jYB,,,,,28.68410000000000081854523159563541412353515625,-81.2811999999999983401721692644059658050537109375,anonymous,EN,I consent to taking part in this survey.,62349b2406ea604d296bd69d,43.375,49.122,52.469,3,125,9,8,"Stay in your place, a one-story, single-detached house, and ride out the storm.",14.777,30.5,31.423,4,,9,150,12,32,Female,32707,Yes,6780624,62349b2406ea604d296bd69d,High Uncertainty - Cat 4,Casselberry,FL,
2022-04-08 07:19:17,2022-04-08 07:34:32,IP Address,162.201.164.164,100,914,True,2022-04-08 07:34:32,R_2sd2Dzgl4aM9Shk,,,,,30.27550000000000096633812063373625278472900390625,-81.581500000000005456968210637569427490234375,anonymous,EN,I consent to taking part in this survey.,5b180cd1db971600013d34cc,5.606,37.252,38.275,7,150,12,5,"Stay in your place, a one-story, single-detached house, and ride out the storm.",3.388,31.949,33.18,10,,7,160,13,37,Female,32216,Yes,3432490,5b180cd1db971600013d34cc,High Uncertainty - Cat 4,Jacksonville,FL,
2022-04-08 07:30:07,2022-04-08 07:40:35,IP Address,50.88.226.10,100,627,True,2022-04-08 07:40:35,R_1mJjNhbeag71QXF,,,,,28.666599999999998971134118619374930858612060546875,-81.3649999999999948840923025272786617279052734375,anonymous,EN,I consent to taking part in this survey.,5ea95ca4936cd3035f7e3e3a,38.162,48.138,49.958,2,110,10,6,"Stay in your place, a one-story, single-detached house, and ride out the storm.",14.995,31.559,33.885,3,,4,104,8,37,Female,32779,Yes,8460672,5ea95ca4936cd3035f7e3e3a,High Uncertainty - Cat 2,Longwood,FL,
2022-04-08 07:38:31,2022-04-08 07:41:05,IP Address,69.180.123.242,100,153,True,2022-04-08 07:41:06,R_27BDLy9cc3sEmqk,,,,,26.21340000000000003410605131648480892181396484375,-80.2239000000000004320099833421409130096435546875,anonymous,EN,I consent to taking part in this survey.,54e5d11bfdf99b36b8df573a,31.848,41.958,43.13,2,130,10,9,"Stay in your place, a one-story, single-detached house, and ride out the storm.",26.952,37.198,37.934,3,,10,140,15,57,Female,33067,Yes,5552854,54e5d11bfdf99b36b8df573a,Low Uncertainty - Cat 4,Pompano Beach,FL,
2022-04-08 07:43:25,2022-04-08 07:47:29,IP Address,98.249.154.123,100,243,True,2022-04-08 07:47:29,R_2EA93xnPOfvYDnM,,,,,26.616499999999998493649400188587605953216552734375,-80.044399999999995998223312199115753173828125,anonymous,EN,I consent to taking part in this survey.,5f048fdc0aea5b0ae3215fc9,78.29,86.84,88.334,4,122,14,8,"Stay in your place, a one-story, single-detached house, and ride out the storm.",15.991,23.265,24.118,3,,10,127,15,65,Female,33461,Yes,4510044,5f048fdc0aea5b0ae3215fc9,Low Uncertainty - Cat 4,Lake Worth,FL,
2022-04-08 07:49:37,2022-04-08 07:50:56,IP Address,73.179.37.156,100,78,True,2022-04-08 07:50:57,R_2YqWc6wr15yQti5,,,,,26.66420000000000101181285572238266468048095703125,-80.1731999999999942474460112862288951873779296875,anonymous,EN,I consent to taking part in this survey.,5aedb8ce49bb4c0001079640,1.954,23.46,25.422,5,139,12,5,"Stay in your place, a one-story, single-detached house, and ride out the storm.",0.995,19.754,20.761,6,,5,139,12,26,Female,33411,Yes,4069885,5aedb8ce49bb4c0001079640,High Uncertainty - Cat 2,West Palm Beach,FL,
